id_disease,disease
546,5280489
547,2369
548,10275777
549,171548
550,2405
551,35330
552,92786
553,11978813
554,9837243
555,2479
556,2481
557,9854012
558,6472
559,34359
560,121396
561,11154555
562,131842141
563,83898
564,5280443
565,2707
566,2710
567,305
568,4369448
569,60613
570,6435415
571,20279
572,2794
573,25151504
574,5281915
575,6167
576,222786
577,16134627
578,2973
579,135565962
580,16136245
581,5881
582,16129703
583,73437646
584,3016
585,441207
586,5284543
587,445580
588,11339
589,3033818
590,16078
591,92974
592,4021
593,446284
594,77993
595,5277135
596,60877
597,16130199
598,15951529
599,443872
600,8223
601,969472
602,121892
603,3324
604,3345
605,5282448
606,135413538
607,9651
608,3467
609,16132283
610,5311128
611,5284566
612,5462328
613,5282593
614,5284569
615,3647
616,5284570
617,154417
618,71360
619,5311181
620,126480325
621,657309
622,27661
623,3784
624,5311037
625,132999
626,2247
627,11610526
628,56944144
629,53465279
630,45138674
631,657181
632,6047
633,5961
634,16158208
635,16134956
636,16139342
637,3958
638,11658860
639,21302490
640,213046
641,471161
642,4033
643,896
644,4055
645,4095
646,4101
647,4107
648,71183
649,4121
650,4170
651,176077
652,3599
653,9865528
654,5282381
655,145996610
656,39147
657,54732242
658,5284594
659,56959087
660,4440
661,936
662,4474
663,89594
664,4497
665,155903259
666,115355
667,23725625
668,65305
669,135565903
670,3036505
671,6337614
672,6918837
673,6613
674,9941444
675,76374506
676,86705695
677,4737
678,154234
679,9924495
680,47811
681,4761
682,4764
683,6041
684,7077
685,5910
686,10071196
687,4845
688,9948102
689,70693500
690,119570
691,4906
692,3052762
693,181572
694,5280343
695,60815
696,445154
697,11753673
698,6436173
699,51049968
700,11304743
701,449193
702,10311306
703,175805
704,59227
705,34755
706,131682
707,5152
708,71815
709,5193
710,9913767
711,56843331
712,517055
713,154059
714,10130337
715,5253
716,5311454
717,2724354
718,130313
719,5358
720,24965990
721,115358
722,10220503
723,123630
724,16124688
725,135409453
726,159269
727,5391
728,23480
729,16137828
730,6018
731,3000715
732,60648
733,33624
734,5487427
735,168009818
736,33741
737,6918140
738,31307
739,50248
740,25074470
741,68748835
742,13559281
743,24795069
744,454216
745,49846579
746,154562176
747,5280483
748,10077130
749,8969
750,60855
751,5732
